player_id,name,team,position,rating,uncertainty,seasons_used,opportunities,data_confidence,as_of_season,as_of_week,model_version,explanation
00-0038984,Kei'Trel Clark,ARI,CB,56.6,8.47,5,764.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2943,""season_count"":5.0,""weighted_observed_rating"":56.6}"
00-0039007,Garrett Williams,ARI,CB,55.31,6.81,5,1696.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.4324,""season_count"":5.0,""weighted_observed_rating"":55.31}"
00-0040195,Denzel Burke,ARI,CB,53.94,9.39,5,683.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2175,""season_count"":5.0,""weighted_observed_rating"":53.94}"
00-0039807,Max Melton,ARI,CB,53.79,8.05,5,991.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.329,""season_count"":5.0,""weighted_observed_rating"":53.79}"
00-0040751,Will Johnson,ARI,CB,52.82,9.36,5,726.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2202,""season_count"":5.0,""weighted_observed_rating"":52.82}"
00-0038663,Starling Thomas V,ARI,CB,52.38,9.14,5,1297.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2384,""season_count"":5.0,""weighted_observed_rating"":52.38}"
00-0038877,D'Shawn Jamison,ARI,CB,50.51,10.9,5,145.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0921,""season_count"":5.0,""weighted_observed_rating"":50.51}"
00-0041597,Devyn Bobby,ARI,CB,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0055,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0041364,Elijah Culp,ARI,CB,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0055,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0040479,Hudson Clark,ARI,CB,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0055,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0040576,Josh Minkins,ARI,CB,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0055,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0039239,Kalen King,ARI,CB,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0055,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0039767,Quinton Newsome,ARI,CB,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0055,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0036568,Roy Lopez,ARI,DL,58.43,6.34,5,1846.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.4721,""season_count"":5.0,""weighted_observed_rating"":58.43}"
00-0033066,Andrew Billings,ARI,DL,57.03,6.38,5,1797.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.4682,""season_count"":5.0,""weighted_observed_rating"":57.03}"
00-0040706,Walter Nolen,ARI,DL,56.21,10.33,5,173.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.1389,""season_count"":5.0,""weighted_observed_rating"":56.21}"
00-0037804,Zachary Carter,ARI,DL,55.31,7.72,5,1260.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.3569,""season_count"":5.0,""weighted_observed_rating"":55.31}"
00-0039854,Darius Robinson,ARI,DL,53.41,8.42,5,693.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2987,""season_count"":5.0,""weighted_observed_rating"":53.41}"
00-0038939,Brodric Martin,ARI,DL,50.22,11.31,5,65.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0576,""season_count"":5.0,""weighted_observed_rating"":50.22}"
00-0041369,Damonic Williams,ARI,DL,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0058,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0040283,Jared Harrison-Hunte,ARI,DL,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0058,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0041555,Kaleb Proctor,ARI,DL,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0058,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0041594,Keveion'ta Spears,ARI,DL,50.02,11.93,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0058,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0040517,Cam Horsley,ARI,DL,50.01,11.7,5,18.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0248,""season_count"":5.0,""weighted_observed_rating"":50.01}"
00-0034381,Josh Sweat,ARI,EDGE,67.17,5.71,5,2578.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.524,""season_count"":5.0,""weighted_observed_rating"":67.17}"
00-0036933,Zaven Collins,ARI,EDGE,57.76,5.7,5,2807.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.5249,""season_count"":5.0,""weighted_observed_rating"":57.76}"
00-0036995,Baron Browning,ARI,EDGE,57.59,6.07,5,1916.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.4939,""season_count"":5.0,""weighted_observed_rating"":57.59}"
00-0038623,Dante Stills,ARI,EDGE,54.04,6.61,5,1617.0,MEDIUM,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.449,""season_count"":5.0,""weighted_observed_rating"":54.04}"
00-0035636,L.J. Collier,ARI,EDGE,53.37,8.21,5,875.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.3161,""season_count"":5.0,""weighted_observed_rating"":53.37}"
00-0039155,BJ Ojulari,ARI,EDGE,53.24,9.03,5,616.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2474,""season_count"":5.0,""weighted_observed_rating"":53.24}"
00-0038782,Eku Leota,ARI,EDGE,51.83,10.18,5,183.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.1513,""season_count"":5.0,""weighted_observed_rating"":51.83}"
00-0040137,Jordan Burch,ARI,EDGE,51.36,9.45,5,508.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.2129,""season_count"":5.0,""weighted_observed_rating"":51.36}"
00-0041367,Cam Robertson,ARI,EDGE,50.02,11.92,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0066,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0039956,Elliott Brown,ARI,EDGE,50.02,11.92,5,5.0,LOW,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.0066,""season_count"":5.0,""weighted_observed_rating"":50.02}"
00-0038567,Chad Ryland,ARI,K,47.58,1.69,3,178.0,HIGH,2026,2,RSM-v0.1-checkpoint1,"{""replacement_prior"":50.0,""sample_reliability"":0.8592,""season_count"":3.0,""weighted_observed_rating"":47.58}"
