game_id,season,week,rsm_margin_error,market_margin_error,existing_margin_error,rsm_total_error,market_total_error,existing_total_error,spread_edge,ats_edge_bucket,total_edge,ou_edge_bucket,confidence_decile,ATS_result,OU_result
2024_01_ARI_BUF,2024,1,-0.577,0.5,9.29111959544818,-10.777999999999999,-16.0,-15.452956353062675,-1.077,1-2,5.222,5+,6,WIN,WIN
2024_01_BAL_KC,2024,1,-0.8490000000000002,-4.0,-10.548680349715184,4.631999999999998,-1.0,-4.009208549596103,3.151,3-5,5.632,5+,7,WIN,WIN
2024_01_CAR_NO,2024,1,-29.9,-33.5,-23.786189173833463,-9.698,-15.5,-19.461573483340445,3.6,3-5,5.802,5+,7,WIN,WIN
2024_01_DAL_CLE,2024,1,16.345,18.5,8.186501091324114,-1.8500000000000014,-8.0,-0.9628771666163658,-2.155,2-3,6.15,5+,8,WIN,WIN
2024_01_DEN_SEA,2024,1,-1.5819999999999999,0.5,-2.1525161752139486,-1.421999999999997,-4.0,-3.761438077439209,-2.082,2-3,2.578,2-3,3,WIN,WIN
2024_01_GB_PHI,2024,1,-2.039,-3.0,-4.337446353657304,-14.545000000000002,-13.5,-14.373978643149613,0.961,0-1,-1.045,1-2,1,WIN,LOSS
2024_01_HOU_IND,2024,1,-0.2999999999999998,-1.0,2.669646814283919,-7.189,-7.0,-9.677223522634762,0.7,0-1,-0.189,0-1,1,WIN,LOSS
2024_01_JAX_MIA,2024,1,0.11900000000000022,0.5,3.2856971239780366,13.747,12.5,10.540940348267284,-0.381,0-1,1.247,1-2,1,WIN,LOSS
2024_01_LA_DET,2024,1,-0.7629999999999999,-1.0,-3.4842720555192788,7.268000000000001,8.0,3.784002210823914,0.237,0-1,-0.732,0-1,1,WIN,WIN
2024_01_LV_LAC,2024,1,-14.107,-9.0,-13.515756858438268,10.389000000000003,9.0,12.829667931124717,-5.107,5+,1.389,1-2,6,LOSS,LOSS
2024_01_MIN_NYG,2024,1,22.73,21.0,21.119664193003203,11.703000000000003,8.5,6.92512082182877,1.73,1-2,3.203,3-5,4,LOSS,LOSS
2024_01_NE_CIN,2024,1,9.1,14.0,13.190574600206176,20.576999999999998,14.5,14.23721810091616,-4.9,3-5,6.077,5+,8,WIN,LOSS
2024_01_NYJ_SF,2024,1,-7.369,-9.5,3.17815323941101,-6.895000000000003,-8.0,-12.341483724198874,2.131,2-3,1.105,1-2,2,WIN,WIN
2024_01_PIT_ATL,2024,1,9.128,12.0,4.20012843226943,18.055,15.0,9.552784909209855,-2.872,2-3,3.055,3-5,3,WIN,LOSS
2024_01_TEN_CHI,2024,1,-4.882,-3.0,-3.442283861817872,1.6409999999999982,2.0,-2.2381702030224915,-1.882,1-2,-0.359,0-1,2,LOSS,WIN
