season,week,game_id,kickoff,away_team,home_team,actual_margin,roster_fair_home_margin,market_implied_home_margin,market_disagreement,absolute_market_disagreement,model_side,market_favorite,disagreement_direction,market_spread,sportsbook,line_timestamp,lineup_confidence,supporting_group_count,opposing_group_count,anomaly_score,flagged,flag_rule,ATS_result,top_reason_1,top_reason_2,top_reason_3,model_version
2023,1,2023_01_ARI_WAS,2023-09-10T13:00,ARI,WAS,4.0,3.071449011702783,7.0,-3.928550988297217,3.928550988297217,AWAY,HOME,MODEL_MORE_AWAY,7.0,,,HIGH,1,2,2.6190339921981445,False,,WIN,WR2_DIFFERENCE: WR2 difference +2.268 points,OL_RUN_VS_FRONT: OL run blocking versus front -1.616 points,OL_WEAKEST_LINK: weakest-link OL difference +1.144 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_BUF_NYJ,2023-09-11T20:15,BUF,NYJ,6.0,0.6600532645550077,-2.5,3.1600532645550077,3.1600532645550077,HOME,AWAY,MODEL_MORE_HOME,-2.5,,,HIGH,1,2,2.106702176370005,False,,WIN,OL_WEAKEST_LINK: weakest-link OL difference +1.984 points,OL_RUN_VS_FRONT: OL run blocking versus front -1.452 points,OL_STRONGEST_PLAYER: strongest OL difference +1.283 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_CAR_ATL,2023-09-10T13:00,CAR,ATL,14.0,4.846829717444234,3.5,1.3468297174442343,1.3468297174442343,HOME,HOME,MODEL_MORE_HOME,3.5,,,HIGH,2,1,1.1223580978701952,False,,WIN,OL_RUN_VS_FRONT: OL run blocking versus front +1.189 points,RECEIVERS_VS_SECONDARY: receivers versus secondary -1.137 points,OL_STRONGEST_PLAYER: strongest OL difference +1.035 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_CIN_CLE,2023-09-10T13:00,CIN,CLE,21.0,4.683185279510509,-1.0,5.683185279510509,5.683185279510509,HOME,AWAY,MODEL_MORE_HOME,-1.0,,,HIGH,2,1,4.735987732925424,True,TOP_20_PERCENT,WIN,TE1_DIFFERENCE: TE1 difference +2.343 points,QB_DIFFERENCE: QB difference -0.550 points,OL_STRONGEST_PLAYER: strongest OL difference +1.350 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_DAL_NYG,2023-09-10T20:20,DAL,NYG,-40.0,-6.484127087783332,-3.5,-2.9841270877833317,2.9841270877833317,AWAY,AWAY,MODEL_MORE_AWAY,-3.5,,,HIGH,3,0,2.9841270877833317,False,,WIN,OL_WEAKEST_LINK: weakest-link OL difference -3.572 points,WR1_DIFFERENCE: WR1 difference +1.006 points,WR2_DIFFERENCE: WR2 difference -1.623 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_DET_KC,2023-09-07T20:20,DET,KC,-1.0,5.340478590061629,4.0,1.340478590061629,1.340478590061629,HOME,HOME,MODEL_MORE_HOME,4.0,,,HIGH,2,0,1.340478590061629,False,,LOSS,RECEIVER_REPLACEMENTS: receiver replacements -2.258 points,QB_VS_PASS_RUSH: QB versus pass rush +1.314 points,OL_RUN_VS_FRONT: OL run blocking versus front -1.352 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_GB_CHI,2023-09-10T16:25,GB,CHI,-18.0,2.6908628316300685,1.0,1.6908628316300685,1.6908628316300685,HOME,HOME,MODEL_MORE_HOME,1.0,,,HIGH,1,1,1.2681471237225512,False,,LOSS,OL_WEAKEST_LINK: weakest-link OL difference -2.122 points,TE1_DIFFERENCE: TE1 difference +1.850 points,OL_STRONGEST_PLAYER: strongest OL difference +1.350 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_HOU_BAL,2023-09-10T13:00,HOU,BAL,16.0,6.207133590227725,9.5,-3.292866409772275,3.292866409772275,AWAY,HOME,MODEL_MORE_AWAY,9.5,,,HIGH,1,2,2.1952442731815163,False,,LOSS,TE1_DIFFERENCE: TE1 difference +1.651 points,OL_RUN_VS_FRONT: OL run blocking versus front -1.079 points,OL_WEAKEST_LINK: weakest-link OL difference +1.400 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_JAX_IND,2023-09-10T13:00,JAX,IND,-10.0,-2.487519964456535,-4.0,1.512480035543465,1.512480035543465,HOME,AWAY,MODEL_MORE_HOME,-4.0,,,HIGH,0,3,0.7562400177717326,False,,LOSS,QB_DIFFERENCE: QB difference -1.313 points,WR1_DIFFERENCE: WR1 difference +0.293 points,QB_VS_PASS_RUSH: QB versus pass rush -1.289 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_LA_SEA,2023-09-10T16:25,LA,SEA,-17.0,-2.096056844997047,4.5,-6.596056844997047,6.596056844997047,AWAY,HOME,MODEL_MORE_AWAY,4.5,,,HIGH,3,0,6.596056844997047,True,TOP_10_PERCENT,WIN,OL_STRONGEST_PLAYER: strongest OL difference -2.709 points,OL_VS_PASS_RUSH: OL versus pass rush +1.693 points,TE1_DIFFERENCE: TE1 difference -1.163 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_LV_DEN,2023-09-10T16:25,LV,DEN,-1.0,1.845782341919416,3.0,-1.154217658080584,1.154217658080584,AWAY,HOME,MODEL_MORE_AWAY,3.0,,,HIGH,1,1,0.8656632435604381,False,,WIN,OL_RUN_VS_FRONT: OL run blocking versus front -1.833 points,OL_WEAKEST_LINK: weakest-link OL difference +1.728 points,TE1_DIFFERENCE: TE1 difference -0.834 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_MIA_LAC,2023-09-10T16:25,MIA,LAC,-2.0,6.564858382956496,3.0,3.564858382956496,3.564858382956496,HOME,HOME,MODEL_MORE_HOME,3.0,,,LOW,2,1,0.0,False,,LOSS,OL_WEAKEST_LINK: weakest-link OL difference +1.865 points,WR2_DIFFERENCE: WR2 difference -1.703 points,OL_STRONGEST_PLAYER: strongest OL difference +1.483 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_PHI_NE,2023-09-10T16:25,PHI,NE,-5.0,-3.2911699963336734,-3.5,0.20883000366632665,0.20883000366632665,HOME,AWAY,MODEL_MORE_HOME,-3.5,,,HIGH,0,2,0.10441500183316332,False,,LOSS,WR2_DIFFERENCE: WR2 difference -2.232 points,OL_WEAKEST_LINK: weakest-link OL difference +0.732 points,TE1_DIFFERENCE: TE1 difference -1.603 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_SF_PIT,2023-09-10T13:00,SF,PIT,-23.0,-2.9391945316107098,-1.5,-1.4391945316107098,1.4391945316107098,AWAY,AWAY,MODEL_MORE_AWAY,-1.5,,,HIGH,3,0,1.4391945316107098,False,,WIN,TE1_DIFFERENCE: TE1 difference -2.348 points,OL_WEAKEST_LINK: weakest-link OL difference +1.425 points,OL_STRONGEST_PLAYER: strongest OL difference -1.466 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_TB_MIN,2023-09-10T13:00,TB,MIN,-3.0,-0.08353561706556034,4.0,-4.083535617065561,4.083535617065561,AWAY,HOME,MODEL_MORE_AWAY,4.0,,,HIGH,2,1,3.4029463475546335,False,,WIN,OL_STRONGEST_PLAYER: strongest OL difference -2.454 points,OL_RUN_VS_FRONT: OL run blocking versus front +1.838 points,OL_WEAKEST_LINK: weakest-link OL difference -2.175 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,1,2023_01_TEN_NO,2023-09-10T13:00,TEN,NO,1.0,8.42746148563297,3.0,5.4274614856329695,5.4274614856329695,HOME,HOME,MODEL_MORE_HOME,3.0,,,HIGH,2,0,5.4274614856329695,True,TOP_20_PERCENT,LOSS,OL_WEAKEST_LINK: weakest-link OL difference +3.050 points,OL_RUN_VS_FRONT: OL run blocking versus front -2.264 points,RECEIVER_REPLACEMENTS: receiver replacements +2.266 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_BAL_CIN,2023-09-17T13:00,BAL,CIN,-3.0,0.8986290338861372,3.5,-2.601370966113863,2.601370966113863,AWAY,HOME,MODEL_MORE_AWAY,3.5,,,HIGH,1,1,1.9510282245853972,False,,WIN,TE1_DIFFERENCE: TE1 difference -3.480 points,WR2_DIFFERENCE: WR2 difference +1.338 points,OL_STRONGEST_PLAYER: strongest OL difference -0.955 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_CHI_TB,2023-09-17T13:00,CHI,TB,10.0,7.913068437005443,2.5,5.413068437005443,5.413068437005443,HOME,HOME,MODEL_MORE_HOME,2.5,,,HIGH,4,0,5.413068437005443,True,TOP_20_PERCENT,WIN,OL_STRONGEST_PLAYER: strongest OL difference +2.950 points,OL_RUN_VS_FRONT: OL run blocking versus front -1.476 points,RECEIVERS_VS_SECONDARY: receivers versus secondary +1.678 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_CLE_PIT,2023-09-18T20:15,CLE,PIT,4.0,-1.0511265242729086,-2.5,1.4488734757270914,1.4488734757270914,HOME,AWAY,MODEL_MORE_HOME,-2.5,,,HIGH,0,2,0.7244367378635457,False,,WIN,OL_STRONGEST_PLAYER: strongest OL difference -1.451 points,OL_WEAKEST_LINK: weakest-link OL difference +0.938 points,WR2_DIFFERENCE: WR2 difference -1.198 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_GB_ATL,2023-09-17T13:00,GB,ATL,1.0,3.5446205311705308,3.0,0.5446205311705308,0.5446205311705308,HOME,HOME,MODEL_MORE_HOME,3.0,,,HIGH,3,0,0.5446205311705308,False,,LOSS,RECEIVER_REPLACEMENTS: receiver replacements -2.258 points,OL_STRONGEST_PLAYER: strongest OL difference +1.645 points,TE1_DIFFERENCE: TE1 difference +1.639 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_IND_HOU,2023-09-17T13:00,IND,HOU,-11.0,4.458933856575401,-1.0,5.458933856575401,5.458933856575401,HOME,AWAY,MODEL_MORE_HOME,-1.0,,,HIGH,2,0,5.458933856575401,True,TOP_20_PERCENT,LOSS,QB_DIFFERENCE: QB difference +0.696 points,RECEIVERS_VS_SECONDARY: receivers versus secondary -0.326 points,QB_VS_PASS_RUSH: QB versus pass rush +0.495 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_KC_JAX,2023-09-17T13:00,KC,JAX,-8.0,-5.507086906200865,-3.5,-2.0070869062008647,2.0070869062008647,AWAY,AWAY,MODEL_MORE_AWAY,-3.5,,,HIGH,3,0,2.0070869062008647,False,,WIN,TE1_DIFFERENCE: TE1 difference -3.638 points,OL_RUN_VS_FRONT: OL run blocking versus front +1.409 points,OL_WEAKEST_LINK: weakest-link OL difference -2.483 points,RSM-v2-candidate-stage7c-anomaly-experimental
2023,2,2023_02_LAC_TEN,2023-09-17T13:00,LAC,TEN,3.0,-2.242917945057388,-2.5,0.2570820549426118,0.2570820549426118,HOME,AWAY,MODEL_MORE_HOME,-2.5,,,LOW,0,3,0.0,False,,WIN,OL_WEAKEST_LINK: weakest-link OL difference -1.612 points,OL_RUN_VS_FRONT: OL run blocking versus front +0.766 points,OL_STRONGEST_PLAYER: strongest OL difference -1.525 points,RSM-v2-candidate-stage7c-anomaly-experimental
