team,qb_rating,rb_rating,wr_rating,te_rating,ol_pass_rating,ol_run_rating,ol_overall_rating,pass_offense_rating,run_offense_rating,offense_rating,dl_rating,edge_rating,lb_rating,cb_rating,safety_rating,pass_defense_rating,run_defense_rating,defense_rating,kicker_rating,roster_rating,offense_rank,defense_rank,roster_rank,lineup_confidence,roster_timestamp,model_version
DEN,62.47,58.27,61.47,57.0,65.98,65.98,65.98,62.37,61.48,61.35,59.83,62.61,61.32,61.19,60.38,61.46,60.96,61.12,60.33,61.16,7,5,1,HIGH,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
HOU,62.16,61.6,60.19,61.45,59.8,59.8,59.8,61.13,60.76,60.21,58.79,67.41,55.62,60.97,55.97,61.37,59.12,60.19,68.82,60.89,11,7,2,HIGH,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
BAL,65.59,65.08,57.19,65.16,57.39,57.39,57.39,61.81,61.64,61.03,60.23,67.18,59.37,63.89,55.56,62.76,60.85,61.74,54.13,60.8,8,3,3,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
ATL,62.07,63.86,57.87,62.37,65.07,65.07,65.07,61.65,64.11,61.47,60.99,57.72,56.81,57.18,56.6,57.19,58.43,57.9,72.64,60.72,5,20,4,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
TB,61.87,60.57,59.07,61.68,63.64,63.64,63.64,61.51,62.17,60.83,64.38,56.12,55.92,56.13,64.3,57.74,59.76,59.05,66.4,60.45,9,15,5,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
LA,58.92,59.13,57.29,57.95,58.12,58.12,58.12,58.25,58.44,57.72,60.83,64.75,63.17,68.03,59.47,64.85,62.3,63.62,55.67,60.27,24,1,6,HIGH,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
DET,65.55,65.94,64.56,69.75,59.11,59.11,59.11,64.44,63.63,62.93,56.16,63.05,56.26,59.41,57.45,59.8,57.7,58.68,53.13,60.19,1,16,7,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
JAX,61.68,57.93,59.73,63.42,57.24,57.24,57.24,60.48,58.72,59.13,58.38,63.0,59.67,57.84,60.17,60.04,59.93,59.78,67.97,60.14,15,9,8,HIGH,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
CIN,64.01,60.22,61.61,58.56,65.32,65.32,65.32,63.13,62.18,62.06,64.44,58.0,54.75,59.8,57.56,58.31,59.07,59.07,54.72,60.1,3,14,9,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
BUF,66.52,64.53,61.16,64.34,61.51,61.51,61.51,63.96,63.13,62.82,54.72,56.51,60.13,61.88,59.96,59.71,57.49,58.64,52.61,60.08,2,17,10,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
PIT,59.11,55.92,58.0,64.05,56.72,56.72,56.72,58.85,57.91,57.7,60.89,59.89,63.05,62.43,61.6,61.56,61.52,61.54,65.13,60.06,25,4,11,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
CHI,61.56,61.03,61.28,69.24,64.11,64.11,64.11,62.77,64.06,61.8,59.58,61.61,56.79,57.58,53.54,57.9,58.4,58.08,59.21,59.88,4,19,12,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
LAC,62.41,56.3,59.66,64.85,55.48,55.48,55.48,60.58,57.64,58.88,58.93,57.82,61.87,58.12,62.84,59.35,60.13,59.65,66.74,59.86,16,10,13,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
SEA,57.31,51.91,57.61,59.82,56.31,56.31,56.31,57.43,55.47,56.18,59.73,67.52,64.19,65.8,57.97,64.59,62.67,63.42,58.95,59.73,29,2,14,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
DAL,63.77,56.59,62.24,59.23,58.85,58.85,58.85,61.95,58.13,60.14,52.53,63.9,57.0,57.12,56.42,59.0,56.76,57.56,67.11,59.51,12,26,15,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
MIN,58.53,54.8,60.69,61.12,61.67,61.67,61.67,59.96,59.16,58.77,50.02,55.44,63.0,55.55,62.36,57.62,56.88,56.85,72.56,58.99,18,29,16,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
SF,62.3,52.86,55.3,65.74,59.13,59.13,59.13,60.26,58.26,58.87,58.32,62.56,58.7,59.63,56.2,59.73,59.09,59.3,57.22,58.94,17,11,17,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
WAS,59.78,60.26,58.79,59.21,57.64,57.64,57.64,59.05,58.87,58.33,64.92,59.14,60.77,61.06,57.57,59.76,61.57,60.8,50.0,58.8,23,6,18,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
GB,64.49,49.26,61.41,71.91,55.36,55.36,55.36,62.64,56.54,59.69,62.92,62.16,57.59,55.79,57.69,58.26,60.38,59.25,50.0,58.71,13,12,19,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
IND,58.58,61.26,61.05,63.5,56.57,56.57,56.57,59.29,59.6,58.4,65.85,59.41,52.82,55.48,54.28,56.15,58.85,57.75,62.87,58.46,22,24,20,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
KC,64.91,59.91,57.64,65.57,57.67,57.67,57.67,61.71,60.03,60.44,61.96,58.52,56.66,52.84,58.89,56.14,59.11,57.57,52.05,58.45,10,25,21,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
NE,58.85,52.84,57.57,62.35,58.81,58.81,58.81,58.87,57.43,57.63,54.1,64.55,60.09,62.04,57.48,61.69,58.62,59.92,53.77,58.38,26,8,22,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
NO,59.32,58.87,56.51,63.98,63.72,63.72,63.72,59.97,62.08,59.61,55.25,59.12,62.17,53.62,58.45,57.09,58.77,57.47,55.32,58.28,14,27,23,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
PHI,63.66,60.83,57.75,66.6,62.51,62.51,62.51,62.25,62.74,61.41,50.0,60.06,59.2,56.71,53.5,57.32,55.58,56.04,50.68,58.08,6,31,24,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
NYJ,58.23,55.83,52.94,59.49,61.56,61.56,61.56,57.7,59.14,57.52,57.65,60.02,56.93,57.88,61.04,59.06,58.21,58.64,54.87,57.82,27,18,25,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
LV,59.42,53.03,57.78,64.85,60.18,60.18,60.18,59.71,58.61,58.42,59.51,56.48,63.73,54.87,55.27,56.32,59.95,57.81,53.5,57.75,21,23,26,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
NYG,60.85,54.14,55.13,63.85,60.92,60.92,60.92,59.73,59.14,58.77,56.81,59.36,58.61,58.43,55.16,58.07,57.78,57.82,50.0,57.63,19,22,27,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
ARI,58.52,50.0,60.33,64.35,61.83,61.83,61.83,60.22,58.2,58.54,57.32,60.61,60.36,53.52,58.62,57.35,59.17,57.89,47.58,57.36,20,21,28,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
TEN,55.55,57.67,55.03,57.69,57.8,57.8,57.8,56.09,57.73,55.98,63.22,59.27,54.78,60.29,57.68,58.91,58.92,59.24,50.39,57.03,30,13,29,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
CLE,53.14,53.91,52.48,60.42,58.86,58.86,58.86,54.85,57.44,54.89,58.55,57.03,54.63,57.53,59.34,57.45,56.96,57.39,61.84,56.6,32,28,30,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
CAR,57.11,58.6,59.68,58.67,57.36,57.36,57.36,57.96,58.06,57.24,50.02,56.08,61.15,58.2,58.04,57.82,55.93,56.6,41.53,55.69,28,30,31,MEDIUM,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
MIA,56.07,57.8,51.04,55.33,57.31,57.31,57.31,54.99,57.09,55.31,59.03,57.49,56.2,52.48,51.55,54.17,56.99,55.41,53.35,55.2,31,32,32,LOW,2026-09-11T12:21:50Z,RSM-v0.1-checkpoint1
